2026-06-22 17:26:44.158 [info] Starting Python Locator /home/sara/.vscode/extensions/ms-python.python-2026.4.0-linux-x64/python-env-tools/bin/pet server
2026-06-22 17:26:44.158 [info] Discovered env: /usr/local/bin/python
2026-06-22 17:26:44.158 [info] Discovered env: /usr/bin/python3
2026-06-22 17:26:44.158 [info] Discovered env: /usr/bin/python3.14
2026-06-22 17:26:44.158 [info] Refresh completed in 172ms
2026-06-22 17:26:47.102 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:39:26.653 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:40:12.648 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:41:14.670 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:45:02.766 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:46:08.152 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:53:32.587 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:54:32.825 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:55:09.257 [info] Resolved Python Environment /usr/local/bin/python
2026-06-22 17:55:43.685 [info] Resolved Python Environment /usr/local/bin/python
